model,class_id,class_name,AP@.50
yolov8m,0,buffalo,80.52193696458596
yolov8m,1,elephant,95.38097538515049
yolov8m,2,rhino,97.94646131279794
yolov8m,3,zebra,87.85156109926736
yolov8n,0,buffalo,78.38197732816761
yolov8n,1,elephant,91.66602840951306
yolov8n,2,rhino,95.92818256184593
yolov8n,3,zebra,88.29850719325705
fasterrcnn,0,buffalo,79.5728138323526
fasterrcnn,1,elephant,89.28775674636823
fasterrcnn,2,rhino,99.17060333484328
fasterrcnn,3,zebra,92.2950614511443
efficientdet,0,buffalo,76.71446074373324
efficientdet,1,elephant,86.25687924556166
efficientdet,2,rhino,96.75668349103489
efficientdet,3,zebra,79.87213980139025
detr,0,buffalo,76.58004402463634
detr,1,elephant,86.38481124550144
detr,2,rhino,94.2917372014531
detr,3,zebra,86.05532619252443
